Respondent.Serial,S1,respondent_age,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2
671,_01,70,_05,_01,_04,_04,_04,,,,,,,,,_04,Still quite fond of it.
674,_01,39,_04,_02,_03,_04,_04,,,,,,,,,_01,Still quite fond of it.
675,_01,50,_04,_02,_03,_05,_04,,,,,,,,,_04,Still quite fond of it.
676,_02,35,_03,_01,_03,_04,_03,,,,,,,,,_04,Still quite fond of it.
677,_01,39,_04,_02,_01,_07,_04,,,,,,,,,_04,Still quite fond of it.
678,_02,39,_02,_02,_07,_04,_04,,,,,,,,,_04,Still quite fond of it.
679,_02,42,_03,_02,_04,_03,_03,,,,,,,,,_03,Still quite fond of it.
680,_02,28,_03,_01,_03,_07,_08,,,,,,,,,_04,"Job Stability – The security industry often provides steady work, which can be reassuring
Career Growth – Opportunities for advancement or skill development"
682,_01,44,_03,_02,_04,_07,_06,,,,,,,,,_03,"no
I don't konw"
684,_01,25,_02,_03,_04,_06,_05,_06,,,,,,,,_03,"no
I don't know"
685,_01,29,_03,_02,_03,_04,_04,,,,,,,,,_05,Still quite fond of it.
689,_01,27,_04,_01,_02,_05,_04,_05,_06,,,,,,,_05,The contribution is recognized
690,_01,35,_05,_01,_02,_04,_04,_05,_06,,,,,,,_05,The contribution is recognized
691,_01,33,_05,_01,_02,_05,_04,_05,_06,,,,,,,_05,The contribution is recognized
692,_01,33,_05,_01,_02,_04,_04,_05,_06,,,,,,,_05,The contribution is recognized
693,_01,36,_06,_01,_02,_04,_04,_05,_06,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
694,_02,37,_05,_01,_02,_04,_04,_05,_06,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
695,_02,38,_04,_01,_02,_04,_04,_05,_06,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
696,_02,30,_04,_01,_02,_04,_04,_05,_06,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
697,_02,26,_03,_02,_02,_06,_04,_05,_06,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
698,_02,25,_02,_02,_02,_06,_05,_06,,,,,,,,_05,"In the security industry, when one's contributions are acknowledged, it can lead to job satisfaction"
699,_02,43,_04,_02,_04,_04,_08,,,,,,,,,_03,"the industry offers continuous and diverse ""growth opportunities."" The security field involves multiple dimensions such as technology (e.g., intelligent monitoring, AI risk prediction), regulations (constantly updated safety standards), and management (establishing emergency response systems), requiring practitioners to keep learning. Whether it is keeping up with cutting-edge security technologies or understanding newly introduced safety regulations, this state of ""always having new things to explore"" prevents work from becoming stagnant, making it especially suitable for those who enjoy challenges."
700,_01,34,_04,_01,_03,_05,_06,,,,,,,,,_04,"This profession is deeply meaningful - every successful threat mitigation makes me feel valued. Moreover, it's truly a promising career path for practitioners"
701,_02,35,_04,_01,_01,_07,_02,,,,,,,,,_03,"This is a stable job that I can handle with ease, and it offers a satisfactory salary."
703,_02,37,_05,_02,_05,_04,_04,,,,,,,,,_03,"the ""sense of value"" in the work is clear and direct. The core of the security industry is to protect people and assets. Whether it is avoiding potential risks through risk assessments or responding quickly to emergencies to reduce losses, every task allows me to truly feel the significance of protecting others and society. For example, a successful safety training session that helps employees avoid operational risks, or a comprehensive security plan that prevents losses for an enterprise—this tangible feeling of ""being needed"" is highly motivating."
708,_02,39,_03,_01,_07,_05,_08,,,,,,,,,_03,"I feel honored that I have a stable job and income now, but at the same time I also think that I can always move forward and reach a higher position through my own efforts, so for me I am only a little satisfied, because if I want to move forward I can't be satisfied with the current situation, I have to work harder"
710,_02,22,_04,_01,_03,_05,_04,,,,,,,,,_03,"Most of my work is done well, but there are still some inevitable minor flaws."
712,_02,30,_05,_01,_03,_04,_04,_05,_06,_07,,,,,,_03,"I do my work very well, but there are some minor flaws that are unavoidable and hard to detect."
713,_01,52,_03,_01,_02,_04,_04,,,,,,,,,_04,Have a stable source of income
714,_01,42,_04,_01,_04,_04,_04,,,,,,,,,_04,Have a stable source of income
715,_02,49,_03,_01,_02,_04,_03,,,,,,,,,_03,The relationship among colleagues is relatively harmonious
716,_02,26,_02,_01,_02,_07,_08,,,,,,,,,_03,The relationship among colleagues is relatively harmonious
717,_01,53,_04,_01,_06,_04,_03,,,,,,,,,_04,The relationship among colleagues is relatively harmonious
718,_02,51,_05,_01,_05,_04,_04,,,,,,,,,_04,Have a stable income from work and a good development prospect
720,_02,28,_02,_01,_03,_06,_08,,,,,,,,,_02,The income is not very stable
721,_01,26,_03,_01,_01,_06,_03,,,,,,,,,_03,The income is relatively stable
722,_02,70,_04,_03,_05,_05,_04,,,,,,,,,_03,The relationship among colleagues is harmonious
723,_02,62,_02,_04,_03,_04,_04,,,,,,,,,_03,The relationship among colleagues is harmonious
724,_01,32,_02,_01,_03,_04,_04,,,,,,,,,_04,The income is relatively stable.
725,_02,67,_03,_02,_02,_04,_04,,,,,,,,,_02,The income is relatively stable.
726,_02,53,_02,_01,_02,_04,_07,,,,,,,,,_02,The income is relatively stable.
736,_01,32,_04,_01,_02,_05,_01,,,,,,,,,_03,"There are good and bad environments, and you can not get along with your colleagues as you want"
741,_01,43,_06,_01,_03,_04,_06,,,,,,,,,_03,"Since we are here, we may as well stay and make the best of it."
742,_02,63,_07,_01,_03,_04,_04,_05,_06,,,,,,,_04,"""I love this job because it provides adequate financial support for my family."""
743,_02,59,_07,_01,_04,_03,_04,_05,_06,,,,,,,_04,"""This position is highly rewarding as it ensures stable financial provision for my household."""
744,_02,38,_06,_01,_02,_05,_01,_04,_05,,,,,,,_04,This position offers adequate financial security for my household.
745,_02,62,_06,_01,_03,_04,_05,_06,_07,,,,,,,_04,"""I find great fulfillment in my profession."""
747,_02,42,_06,_01,_03,_05,_06,_07,,,,,,,,_05,"""My work is indispensable to my family's well-being."""
748,_02,37,_05,_01,_02,_04,_04,_05,_06,,,,,,,_04,My family and I are entirely dependent on my job for our livelihood.
749,_02,61,_05,_01,_01,_04,_01,,,,,,,,,_04,Because I have gained the respect and admiration of many people in the company.
750,_02,47,_05,_01,_03,_03,_01,_04,,,,,,,,_04,My work meets all my financial needs comfortably.
751,_02,51,_07,_01,_03,_02,_01,,,,,,,,,_05,My job provides me with sufficient financial means.
752,_02,50,_06,_01,_04,_04,_01,_04,_05,_06,,,,,,_05,My current employment provides complete financial adequacy
754,_02,56,_04,_01,_03,_04,_02,,,,,,,,,_05,"Because this job brings me a good income, enough to cover my family's expenses."
755,_02,47,_05,_01,_07,_02,_01,,,,,,,,,_05,"I have a deep affection for my current job, and my colleagues show me a lot of respect."
756,_02,53,_03,_02,_04,_06,_08,,,,,,,,,_03,"The colleagues in the company get along relatively well, and the leaders are also pretty good to me."
757,_02,68,_07,_04,_03,_01,_01,,,,,,,,,_05,"Because I have put in a lot of effort, it has become an inseparable part of my life."
759,_02,56,_05,_01,_01,_04,_04,,,,,,,,,_05,It can make my life more stable.
760,_02,64,_07,_04,_06,_03,_02,_03,_04,,,,,,,_05,"It has accompanied me through half of my life, carrying too many memories of mine."
761,_02,29,_03,_01,_04,_05,_02,_03,,,,,,,,_04,It solves the current life problems.
762,_02,27,_02,_01,_07,_06,_02,_03,,,,,,,,_04,"I think this job is full of challenges and opportunities for me, and I believe I will gradually come to like it."
766,_01,25,_03,_01,_02,_04,_04,_06,_08,,,,,,,_04,工资高，做事轻松
770,_01,45,_06,_01,_03,_07,_06,,,,,,,,,_03,"This is the job I love, and it provides me with a stable income."
772,_01,36,_06,_01,_07,_04,_04,,,,,,,,,_03,"As a project manager, I am generally satisfied with my work in the security industry. This field is full of challenges, but it also gives me the opportunity to drive key security projects to fruition and enhance the company's risk defense capabilities. The process of teamwork and continuous learning of new technologies makes me feel fulfilled, and it is very rewarding to see the practical value brought by the project results."
773,_02,42,_05,_01,_03,_06,_03,,,,,,,,,_04,"Safety work can effectively safeguard lives and property through identifying potential hazards and risk prevention and control, and each time we resolve practical issues, it brings a strong sense of accomplishment. Meanwhile, the industry continuously evolves technologies such as intelligent inspection and IoT - based protection, keeping the work full of vitality in innovation and exploration."
774,_02,27,_04,_01,_01,_06,_04,_08,,,,,,,,_05,工作轻松
776,_01,40,_06,_01,_03,_04,_08,,,,,,,,,_04,"In the security industry, I can effectively safeguard clients' safety through work such as risk assessment and the implementation of emergency response plans, and I gain a strong sense of value every time I successfully resolve potential hazards. Meanwhile, exclusive training and mentorship programs for female practitioners promoted by platforms like SIA have helped me make breakthroughs and grow in areas such as the application of intelligent security technology and team management, allowing me to clearly see the career advancement path."
777,_01,35,_03,_02,_06,_05,_03,_04,,,,,,,,_03,The safety work is in place.
778,_01,29,_03,_01,_07,_06,_02,_03,,,,,,,,_02,"Information security is networked, and today's society needs to strengthen this issue."
779,_01,30,_03,_01,_06,_05,_04,,,,,,,,,_02,Safety management is not in place.
781,_01,64,_03,_01,_05,_06,_06,,,,,,,,,_03,Because I like this way of working
782,_01,46,_06,_01,_01,_01,_02,_05,_08,,,,,,,_04,good pay
783,_02,28,_02,_01,_07,_07,_08,,,,,,,,,_03,"I am very satisfied with my current job for the following reasons:
First, this job is completely within my capabilities. I can complete various tasks efficiently and accumulate experience to improve my professional level. Whether it is daily security management or emergency response, I can handle it calmly, which makes me confident in my career development.
Second, the boss of the company is very generous. Not only does he provide competitive salary, but he also often gives employees extra rewards and care.
In addition, this job also gives me a lot of opportunities to exercise. Whether it is interpersonal communication, teamwork, or emergency response capabilities, they have been significantly improved in practice.
In general, this job not only allows me to realize my personal value, but also allows me to grow in a positive environment, so I am very satisfied with my current career status."
784,_01,42,_02,_02,_07,_07,_07,_08,,,,,,,,_03,This job makes me feel comfortable
787,_01,43,_03,_01,_05,_06,_05,_06,,,,,,,,_02,"Outdated Regulatory Alignment​​: OSHA standards lag behind emerging technologies (e.g., modular construction, AI-driven equipment), creating ambiguity in compliance. For instance, guidelines for drone-assisted site inspections remain vague, increasing legal risks and inconsistent enforcement."
788,_02,40,_05,_02,_03,_06,_06,,,,,,,,,_02,"Pre-project risk evaluations rarely account for dynamic factors like weather shifts, design changes, or unexpected site conditions . This rigidity leaves teams unprepared for evolving threats, escalating incident likelihood."
789,_02,33,_03,_02,_02,_06,_06,,,,,,,,,_02,"Qualifications for subcontractors focus on cost over safety records. Vague contractual safety clauses and minimal oversight lead to mismatched standards—e.g., a subcontractor’s crew using uncertified machinery, exposing the entire project to liability."
790,_02,29,_04,_02,_03,_06,_06,,,,,,,,,_02,"Anonymous hazard-reporting systems are poorly publicized, fostering fear of retaliation. Workers often prioritize speed over safety, dismissing minor risks (e.g., tripping hazards) that escalate into serious incidents due to cultural apathy."
791,_02,35,_04,_01,_01,_05,_04,,,,,,,,,_02,"Emergency plans are rarely updated beyond initial approvals, and drills (e.g., fire evacuations) occur infrequently. Many sites lack trained first responders, leading to prolonged recovery times and preventable injuries during crises."
793,_02,36,_04,_01,_01,_05,_05,,,,,,,,,_02,"Management frequently pressures crews to cut corners (e.g., skipping pre-task safety briefings) to meet deadlines. Safety performance metrics are decoupled from project incentives, creating a ""speed over safety"" mindset that erodes trust in safety protocols."
798,_02,30,_02,_01,_07,_06,_02,_03,,,,,,,,_03,"It's steady work with good benefits, but the overnight surveillance shifts are taking a toll on my sleep schedule. The pay could better reflect the risks we handle daily."
799,_02,54,_05,_01,_03,_05,_08,,,,,,,,,_03,"Very rewarding. Implementing zero-trust architectures for healthcare clients gives purpose, but compliance documentation is tedious. Leadership invests heavily in upskilling us on new cloud security tech."
800,_01,25,_03,_01,_03,_06,_03,_04,,,,,,,,_03,"Love the cutting-edge AI work! Our self-learning models stop threats in real-time, but explaining autonomous responses to clients requires patience. Stock options are a huge plus."
801,_01,30,_04,_01,_02,_04,_01,_02,_03,,,,,,,_02,"Solid 8/10. Building next-gen firewalls with our SOC4 chips is technically fulfilling. However, the hardware division faces supply chain delays that strain deadlines."
802,_02,26,_03,_01,_03,_07,_06,_08,,,,,,,,_02,Mission-critical satisfaction. Protecting nuclear plants and grids gives immense responsibility. The niche OT focus means fewer career growth options unless I relocate.
803,_02,44,_05,_01,_03,_05,_06,,,,,,,,,_03,"Mixed feelings. Pentesting smart devices is exciting, but clients often ignore vulnerabilities we flag due to cost concerns. The startup culture is energetic yet unstable."
804,_02,49,_05,_01,_02,_04,_03,_04,,,,,,,,_03,"Proud but pressured. Developing rescue drones for national projects is honorable, yet 60-hour weeks during product launches are brutal. The IPO brought great equity rewards though."
808,_01,51,_05,_01,_02,_04,_04,_06,,,,,,,,_04,"Safety work is directly related to the safety and stability of individuals, enterprises, and even society. Whether in the fields of data security, network security, or physical security, the success of each risk warning and the repair of each vulnerability can effectively avoid potential losses. This sense of value of ""guardianship"" gives people a strong sense of professional identity."
809,_02,45,_07,_01,_05,_01,_01,_04,_08,,,,,,,_04,"The security industry has endowed me with three core values: 
1. Strategic implementation: By leveraging the functions of executive leadership and project management, the security strategy is integrated into the entire process of construction projects to avoid risks, safeguard safety, and gain a sense of value and motivation.
2. Resource Collaboration: By leveraging administrative management functions, integrate human and IT resources, build teams, introduce systems, efficiently solve security issues, and enhance work recognition.
3. Industry Impact: Participated in standard discussions and shared experiences as a C-level executive, promoting the industry's emphasis on safety. Highly satisfied with the work due to a sense of mission and willing to continue to delve deeper."
810,_02,40,_05,_01,_03,_07,_08,,,,,,,,,_03,"Thrilled to pioneer data governance in China. Working on national standards like 'Shuyou Space' is career-defining, but government audits demand perfectionism."
813,_02,33,_05,_01,_06,_01,_04,_08,,,,,,,,_02,"Due to the hidden barriers in the industry: when implementing the leadership's security strategy, there is often a gender stereotype of ""valuing experience over innovation"", which leads to significant resistance in the advancement of the plan. In project management, security resources are inclined towards male-dominated business, and security cooperation projects led by women are difficult to receive equal support. At the administrative management level, the industry's safety training and promotion channels are not well-suited for women, and their career development is restricted. We hope that the industry can break through prejudice and truly empower women on an equal footing."
814,_01,25,_03,_01,_01,_06,_06,,,,,,,,,_04,"Pretty satisfied, honestly. This job isn't as boring as sitting in an office; there's something new every day. Being able to help people avoid trouble feels pretty good, really energizing."
815,_01,29,_02,_01,_06,_05,_06,,,,,,,,,_04,"Satisfied? You bet. This job has weight, matters when it counts. Seeing everyone safe and sound makes what I do feel worthwhile."
816,_01,28,_04,_01,_04,_06,_06,,,,,,,,,_04,"Love this job! It gets crazy busy sometimes, but nailing a hidden risk each time gives such a sense of achievement. Colleagues are all solid, working together is awesome."
817,_02,24,_03,_01,_02,_03,_06,,,,,,,,,_04,"It's okay, not as dull as I thought. Tackling all kinds of safety issues is like solving puzzles. And I learn tons of real skills, feeling more capable by the day."
818,_01,26,_02,_01,_02,_02,_06,,,,,,,,,_04,"Pretty good. This job's steady and helps people. Daily tasks aren't repetitive, there's challenge and gain, pay's decent too—no complaints."
819,_02,55,_05,_04,_03,_06,_04,,,,,,,,,_03,Very satisfied
822,_02,34,_03,_02,_01,_07,_06,,,,,,,,,_03,yeshhhhh
826,_02,35,_05,_01,_03,_04,_04,,,,,,,,,_04,"I am extremely satisfied with my current job in the security industry. It not only enables me to acquire a lot of knowledge, but also helps more ordinary people. Serving them gives me a great sense of achievement in this field."
844,_02,25,_03,_02,_03,_01,_01,_02,_03,,,,,,,_05,"Everything goes well, I think.In terms of safety, there's actually no need to worry too much, and the salary in this aspect is also quite good."
846,_01,45,_04,_01,_03,_04,_04,,,,,,,,,_03,"The core of security work lies in ""protection"" — whether it is safeguarding corporate data, user privacy, fending off cyber attacks, or maintaining business stability. Every successful vulnerability fix, emergency response, or upgrade of security systems allows one to directly witness the outcomes of their work."
848,_02,29,_05,_01,_03,_04,_01,_04,_06,,,,,,,_04,"1. Sense of value: Safeguard safety, resolve risks, and do meaningful work.

2. Rapid growth: Exposure to diverse knowledge and skills, with continuous capability enhancement.

3. Good atmosphere: Cohesive teamwork and recognition and respect from the industry."
849,_02,55,_05,_02,_02,_05,_06,_08,,,,,,,,_03,"The core of ""somewhat satisfied"" lies in ""not to the point of leaving, but not yet with the enthusiasm to fully commit"" — acknowledging both the fundamental value of the security industry and the stability of one's own work, while clearly recognizing the bottlenecks in the current environment (such as slow growth, lack of challenges, and insufficient support)."
850,_02,46,_05,_01,_01,_04,_08,,,,,,,,,_04,"In the digital era, security has gradually evolved from a ""peripheral function"" to a ""core strategy"". The importance of this work is now recognized by both management and business departments, and it is no longer an ""invisible defense line"". This state of being needed and valued has significantly enhanced job satisfaction."
851,_02,44,_04,_01,_04,_07,_08,,,,,,,,,_02,"The career path is vague, and the motivation for promotion is mediocre. The company has no clear promotion criteria for security positions — for example, the capabilities required to move from a specialist to a supervisor, or how long it takes to get a promotion opportunity, are all unclear."
852,_01,32,_02,_06,,,,,,,,,,,,,
853,_02,29,_03,_01,_02,_06,_02,_05,,,,,,,,_03,The company provides me with a platform for career development.
854,_01,44,_04,_02,_03,_05,_06,,,,,,,,,_03,"The workload is not extremely heavy, allowing for a basic balance between work and life. The salary is at a medium level in the industry, sufficient to cover daily expenses. This state of ""not being stressed enough to want to escape, nor being so financially strained that a job change is imperative"" makes people inclined to ""maintain the status quo for now."""
855,_02,51,_05,_02,_07,_05,_03,,,,,,,,,_04,"There is excellent room for development, and it is also very friendly to female practitioners."
856,_01,58,_06,_04,_06,_05,_06,,,,,,,,,_04,"The team atmosphere is relatively harmonious, with no serious workplace conflicts or gender bias — which is particularly important for female practitioners — and work can generally proceed according to procedures."
860,_01,52,_05,_01,_05,_04,_01,_04,,,,,,,,_04,"In recent years, with the improvement of regulations such as the 'Cybersecurity Law' and the 'Data Security Law,' and the public's increased awareness of privacy and risks, security work has gradually shifted from being 'behind-the-scenes support' to becoming 'core and front-line.' Companies are willing to invest more resources in security, and society's perception of security professionals has transitioned from 'tech geeks' to 'guardians of safety.' This increase in recognition further strengthens professional identity."
861,_02,45,_06,_01,_02,_02,_01,_02,_03,_04,_05,,,,,_03,"Because I feel the job is a bit dull and boring, but fortunately, the welfare benefits are quite good. I have to support my family, and a stable job brings me a sense of security"
862,_02,42,_03,_02,_01,_01,_04,,,,,,,,,_04,"My job makes me feel both challenging and interesting, which makes me feel very fulfilled and fulfilled."
863,_02,34,_04,_01,_02,_01,_01,,,,,,,,,_04,"Industry Advantage (Source of High Satisfaction) 
Demand growth: There is a significant shortage of cybersecurity professionals (approximately 3.5 million vacancies worldwide), and the job stability is high. 
Salary competitiveness: According to the ISC² report, the average salary of security professionals is 20% - 30% higher than that of other IT positions. 
Sense of mission: Protecting data/infrastructure from attacks, with a strong sense of social value."
864,_02,31,_04,_03,_02,_03,_02,,,,,,,,,_02,I feel that work has deprived me of my freedom. I have thought about arranging my time more reasonably. I want to be a woman with more control
866,_02,35,_05,_01,_04,_02,_03,,,,,,,,,_05,"The satisfaction and challenges of work In my job, what makes me most fulfilled is achieving goals, no matter how big or small, through my own efforts. Whenever I face difficulties and challenges, I can always find a sense of achievement from them. And this sense of satisfaction makes me look forward to and embrace new work projects and challenges even more."
882,_01,24,_03,_01,_05,_07,_05,,,,,,,,,_03,福利待遇好，氛围愉快
897,_01,24,_03,_01,_06,_04,_04,,,,,,,,,_03,ok ok
901,_01,31,_05,_01,_02,_04,_02,_03,_04,,,,,,,_04,Zenitel is amazing company with great leadership and the relationships they've shown me have been incredible.
904,_02,36,_05,_01,_02,_07,_04,,,,,,,,,_04,My current job has a decent work life balance and I feel like I have more job security than my peers in other industries
909,_01,34,_05,_01,_05,_05,_06,,,,,,,,,_04,Company gives me the resources I need to complete my tasks. Also gives me time to keep learning what is new in the industry.
913,_02,42,_03,_01,_01,_04,_08,,,,,,,,,_04,"I love the industry, people and mission."
914,_02,30,_03,_01,_Other,_07,_02,_04,_07,,,,,,,_03,"I have ideas that overflow within me, I pitch them / make prototypes, etc and people listen and they seem to like it and want to move forward with it but they never go anywhere. I just want to create and grow but I feel as if I am "" stuck "" in a box here."
916,_02,28,_02,_01,_02,_04,_03,,,,,,,,,_04,I am supported by my peers and encouraged to share my ideas in a collaborative work environment.
924,_02,47,_07,_01,_Other,_02,_01,_06,_08,_Other,,,,,,_03,Lots of uncertainty in the sector.
926,_02,32,_03,_01,_05,_06,_04,,,,,,,,,_04,I am satisfied with the job that I do and the team that I am on.
927,_02,57,_06,_01,_03,_04,_05,,,,,,,,,_03,I like my job but hate that at times I need a male counterpart to state things for me or back up what I state as fact to get people to listen
928,_02,44,_07,_01,_04,_04,_06,,,,,,,,,_04,"I enjoy the company I work for, it's benefits, work/life balance and the people I work with."
930,_02,45,_07,_01,_02,_03,_03,,,,,,,,,_04,"The work is meaningful, and I appreciate being part of a field that helps protect people - its an industry I can feel good about being part. I feel like my skills are being used effectively, and there's a good mix of challenge and stability. While there’s always room for growth, overall I see the impact our industry makes."
932,_02,54,_05,_01,_02,_04,_02,,,,,,,,,_04,Motorola is a very stable organization.  Benefits are good.  Work is fulfilling and I enjoy being in the know of the latest product/industry enhancements
939,_02,56,_03,_01,_04,_07,_04,_06,_08,,,,,,,_03,"As a female in a project manager/security role, I do not feel I am heard nor is my training valued."
943,_02,54,_07,_01,_03,_02,_01,,,,,,,,,_05,"Leadership team members, inclusive to decisions, relevant service to the market-video Services."
944,_02,38,_05,_01,_Other,_01,_01,_03,,,,,,,,_04,"I love what I do, I really enjoy the industry, but I face really challenging leaders in my own organization that have old ways of thinking and don't value people the way they should!"
945,_02,48,_07,_01,_02,_Other,_02,,,,,,,,,_04,I've worked hard to get where I am.  I'm respected by my team and leadership.  I enjoy my role in the company.
948,_02,41,_04,_01,_03,_Other,_02,,,,,,,,,_03,I wish we had more opportunities to target new leads
951,_02,57,_07,_01,_02,_03,_01,,,,,,,,,_02,"Gas lighting, hostile work environment. Executive leadership is not empathetic towards workers needs."
952,_02,47,_06,_01,_01,_01,_01,_02,_03,_04,_06,_08,,,,_04,I believe I’m in a great position to grow and nuture our 50 year old business.
956,_02,33,_04,_01,_01,_04,_01,_04,,,,,,,,_04,"I enjoy my current role as I make an impact every day, play a role in driving and developing team initiatives, nurture customer relationships and team building, and create structure and processes that assist our sales and operations teams."
960,_02,66,_05,_01,_Other,_05,_04,,,,,,,,,_04,"I am a consultant, finding executive talent, and one of the areas I cover is security"
961,_02,31,_02,_01,_01,_Other,_03,,,,,,,,,_04,"This is the first time I've worked in the security industry through technology. And it has been quite an exciting journey! Not only because I've learned a bunch, but the consciousness of being ahead of the changing world, and using technology with porpouse. Always being humble and empathic in order to impact, positively, on the society."
962,_02,37,_04,_01,_02,_05,_06,,,,,,,,,_03,I joined security mid-career after building my craft in a peripheral business function. I find that security struggles to value the peripheral expertise even though security knows it's needed.
964,_01,63,_06,_01,_01,_01,_04,,,,,,,,,_04,hE LOGRADO CUMPLIR LOS OBJETIVOS PROPUESTOS
966,_02,57,_07,_01,_03,_04,_02,,,,,,,,,_04,Retirement job after 3o years...sales with live monitoring...never did sales before but contacts from previous policing and utility job proven valuable...more $ ever in retirement job!
968,_02,49,_05,_01,_02,_04,_08,,,,,,,,,_04,Lots of opportunity to grow and develop.
970,_02,54,_04,_01,_02,_Other,_03,_04,,,,,,,,_03,"I love marketing in the security industry. It is a fascinating evolving field. However, my organization is in a growing phase that requires strategic direction and communication for execution. I believe project management and leadership development contributes to organizational success. I'd like to see this in our leadership."
975,_01,65,_06,_01,_03,_03,_04,,,,,,,,,_04,POR LOS RESULTADOS ALCANZADOS
976,_01,38,_04,_01,_04,_06,_01,_08,,,,,,,,_04,"the sense of satisfaction in working in the security industry often stems from the core sense of value and room for growth of this job, as well as the practical impact on the operation of society"
977,_02,38,_03,_01,_02,_03,_01,_06,,,,,,,,_03,Protective measures are good.
979,_01,30,_04,_01,_02,_07,_06,,,,,,,,,_03,Often times doing administrative work that is not security-related
982,_01,37,_05,_01,_03,_04,_04,_05,_07,,,,,,,_03,Would like more involvement in company business.
985,_01,40,_03,_01,_06,_04,_03,,,,,,,,,_03,目前比较知足
993,_02,39,_05,_01,_02,_04,_Other,,,,,,,,,_03,It is an uncertan time as the company was sold from a big Corporation to another one.
994,_02,74,_07,_01,_Other,_01,_01,,,,,,,,,_05,This is my 41st year focusing on the Security Industry for my consulting business.
995,_01,37,_03,_01,_01,_05,_02,_06,,,,,,,,_03,"Working at an integrator so comp plan could be better, especially when compared to manufacturers"
996,_02,52,_07,_01,_02,_05,_Other,,,,,,,,,_05,Cutting edge company that will change ID security entirely
1000,_02,35,_05,_01,_06,_04,_02,_04,,,,,,,,_03,I feel like I could be doing more
1011,_02,47,_06,_01,_02,_02,_01,,,,,,,,,_03,"I have been with the same company for over 10 years.  It's a smaller company that runs a very lean work force, so the workload is very high and I've struggled with burnout.  Technology development is slow compared to our competitors and often not delivered when promised.  However, I love my team and immediate leadership, and working at a smaller company has allowed me to develop quickly with access to top industry leaders."
1013,_02,45,_06,_01,_02,_05,_02,_03,_05,_06,,,,,,_05,My company support  me in all to growing up
1016,_02,35,_06,_01,_02,_04,_03,,,,,,,,,_03,"Pros: innovative technology, larger purpose in helping people stay safe
Cons: understaffed, added pressure from stiff competition"
1021,_02,39,_03,_02,_04,_04,_02,_06,,,,,,,,_03,Pull affected batches and notify patients
1022,_01,44,_06,_01,_04,_03,_04,_06,_07,,,,,,,_04,I have a stable government job in a field that is critical.  There is room for growth in my org.
1027,_02,46,_06,_01,_02,_04,_02,,,,,,,,,_05,"Excellent company culture, innovative and exciting technology, outstanding employee support."
